id,price_doc
30474,5270443.0
30475,8108562.0
30476,5146944.0
30477,5737200.5
30478,4951175.0
30479,9007567.0
30480,4196125.0
30481,4189519.0
30482,4644204.0
30483,4678808.0
30484,6262603.0
30485,4860752.0
30486,3568861.25
30487,3765699.75
30488,6056721.5
30489,6100587.5
30490,22189626.0
30491,19465012.0
30492,5682827.5
30493,13184334.0
30494,6718600.0
30495,10530089.0
30496,8226856.5
30497,8216922.0
30498,4516625.0
30499,8053882.0
30500,10936452.0
30501,6822144.5
30502,3014591.5
30503,6501440.5
30504,5575607.0
30505,11122627.0
30506,3211802.25
30507,4670106.0
30508,5314130.5
30509,7437812.5
30510,9143206.0
30511,6488359.0
30512,6122135.0
30513,4176812.75
30514,3436204.75
30515,9631378.0
30516,5756261.5
30517,10991452.0
30518,8151282.5
30519,4410798.5
30520,6869254.5
30521,5694747.0
30522,7492588.5
30523,6373169.0
30524,10485196.0
30525,11472065.0
30526,4847221.0
30527,4917754.0
30528,6539235.0
30529,6561624.5
30530,6224163.0
30531,14222395.0
30532,4692285.0
30533,10702383.0
30534,6571788.5
30535,9408806.0
30536,5800650.5
30537,11313309.0
30538,4768687.5
30539,8607385.0
30540,9572187.0
30541,5994568.0
30542,2089780.125
30543,5495408.5
30544,6573211.5
30545,8435205.0
30546,4082427.5
30547,9634446.0
30548,4464967.0
30549,5023732.5
30550,11935524.0
30551,5060127.0
30552,1802508.375
30553,7076643.5
30554,10756164.0
30555,6165234.0
30556,8987009.0
30557,7024298.5
30558,9372946.0
30559,6050700.5
30560,6052853.0
30561,6700178.5
30562,12298648.0
30563,4878432.0
30564,7077696.5
30565,6473346.5
30566,6906848.5
30567,1949703.25
30568,9738240.0
30569,9650539.0
30570,6625365.5
30571,7405961.0
30572,4787452.0
30573,6388351.0
30574,5835300.5
30575,7394739.5
30576,4794515.5
30577,4020316.0
30578,3219438.0
30579,6869516.5
30580,4361644.5
30581,5434266.0
30582,12485414.0
30583,6770674.5
30584,4252780.0
30585,2493208.75
30586,9110565.0
30587,5694350.0
30588,7636222.0
30589,7105201.0
30590,12362288.0
30591,5253747.0
30592,6228717.5
30593,7629117.0
30594,6658513.0
30595,5368179.5
30596,6424875.5
30597,6388351.0
30598,9463898.0
30599,10396895.0
30600,4965853.0
30601,5790541.5
30602,1712213.125
30603,12023721.0
30604,4495267.5
30605,6627691.5
30606,23889232.0
30607,6724856.5
30608,8571629.0
30609,6099581.0
30610,2948195.25
30611,5403455.5
30612,7027032.5
30613,8585536.0
30614,16527242.0
30615,7306846.0
30616,5512652.0
30617,9136686.0
30618,4900132.5
30619,4188660.25
30620,2567374.25
30621,8845029.0
30622,7507423.0
30623,6190025.0
30624,6701853.0
30625,7976192.0
30626,6113214.5
30627,7160600.5
30628,6317038.5
30629,5238502.0
30630,4629792.0
30631,6052097.0
30632,4053281.5
30633,5784034.5
30634,11330801.0
30635,9538980.0
30636,5265138.0
30637,9496157.0
30638,5794530.0
30639,7516492.0
30640,4535539.5
30641,8003584.5
30642,6458337.5
30643,7655705.5
30644,9460091.0
30645,7242057.5
30646,5173409.5
30647,4672739.0
30648,23147260.0
30649,2079712.0
30650,4939149.0
30651,3329407.25
30652,4430334.5
30653,7067525.0
30654,4382563.0
30655,12583603.0
30656,3909372.25
30657,6297825.5
30658,10705752.0
30659,4665997.0
30660,8369067.5
30661,6566307.0
30662,8236151.0
30663,16343919.0
30664,11888470.0
30665,6075349.5
30666,2493920.0
30667,4130463.25
30668,8869829.0
30669,4864513.5
30670,2393428.0
30671,7032395.5
30672,15633449.0
30673,10162368.0
30674,11317756.0
30675,2037084.125
30676,6635439.0
30677,4184675.5
30678,19441414.0
30679,5609640.0
30680,5008534.5
30681,2387865.25
30682,8771327.0
30683,9479453.0
30684,4553946.5
30685,7315436.0
30686,9392274.0
30687,4985127.5
30688,4385908.0
30689,14079184.0
30690,25061164.0
30691,4376619.5
30692,5858854.5
30693,11383983.0
30694,5497295.5
30695,6884443.0
30696,6541686.5
30697,11955710.0
30698,7549949.5
30699,5812983.0
30700,4852572.5
30701,9461192.0
30702,5967235.5
30703,3764942.0
30704,11531142.0
30705,8842869.0
30706,23927400.0
30707,3515079.5
30708,13510178.0
30709,5966279.5
30710,6822613.0
30711,4565152.5
30712,3991004.5
30713,6242567.5
30714,6894101.5
30715,3860640.75
30716,9479453.0
30717,5927645.0
30718,8243883.5
30719,13838717.0
30720,7214718.0
30721,4613673.0
30722,7164384.5
30723,6040236.0
30724,12076630.0
30725,6706814.5
30726,11318619.0
30727,9641689.0
30728,11215531.0
30729,3279052.75
30730,6173594.5
30731,6332467.5
30732,4333847.5
30733,9715067.0
30734,6850609.5
30735,5452128.0
30736,5477556.0
30737,6539011.0
30738,5944923.5
30739,4216354.0
30740,6794264.5
30741,11179501.0
30742,4070387.75
30743,4908860.0
30744,9344796.0
30745,6733346.5
30746,5623862.0
30747,13984522.0
30748,16495214.0
30749,4670359.5
30750,6468532.5
30751,3183678.75
30752,7119764.5
30753,9752533.0
30754,5402100.0
30755,4926813.5
30756,6006900.5
30757,5164625.5
30758,10140315.0
30759,5774444.5
30760,4579743.0
30761,9566037.0
30762,6721445.5
30763,11895388.0
30764,6011376.5
30765,5852494.0
30766,3341017.0
30767,9594744.0
30768,4228095.5
30769,7073060.5
30770,6013303.0
30771,2754860.75
30772,8315493.0
30773,7988112.5
30774,5571333.5
30775,11897816.0
30776,5729223.0
30777,6202801.5
30778,8894293.0
30779,6469458.5
30780,7446840.5
30781,6475686.5
30782,5250285.5
30783,5591011.0
30784,3589700.5
30785,5219363.0
30786,4174033.75
30787,6060708.5
30788,5678174.0
30789,7354258.5
30790,6330149.0
30791,10022980.0
30792,6960893.5
30793,11629365.0
30794,13772334.0
30795,11035313.0
30796,11452345.0
30797,14430970.0
30798,2597719.5
30799,10302320.0
30800,13636204.0
30801,6109933.0
30802,20039774.0
30803,2713961.75
30804,3604815.75
30805,15117874.0
30806,6893760.0
30807,5921057.5
30808,10246156.0
30809,4849857.0
30810,11033714.0
30811,4300466.0
30812,5212449.0
